Date,Count
2013-09-24,1
2013-09-27,1
2013-09-28,1
2013-09-30,3
2013-10-02,3
2013-10-04,1
2013-10-05,4
2013-10-07,1
2013-10-08,1
2013-10-09,4
2013-10-10,6
2013-10-11,3
2013-10-12,1
2013-10-13,1
2013-10-14,1
2013-10-15,1
2013-10-18,3
2013-10-19,2
2013-10-20,2
2013-10-21,1
2013-10-23,3
2013-10-25,1
2013-10-27,1
2013-10-29,1
2013-10-30,18
2013-10-31,3
2013-11-01,3
2013-11-02,3
2013-11-03,2
2013-11-06,3
2013-11-07,1
2013-11-09,4
2013-11-10,8
2013-11-11,5
2013-11-12,3
2013-11-14,3
2013-11-16,12
2013-11-17,2
2013-11-18,3
2013-11-19,1
2013-11-20,6
2013-11-22,3
2013-11-23,3
2013-11-24,3
2013-11-25,1
2013-11-27,3
2013-11-28,1
2013-11-30,7
2013-12-01,4
2013-12-02,3
2013-12-03,1
2013-12-05,1
2013-12-06,1
2013-12-07,9
2013-12-08,2
2013-12-09,1
2013-12-10,2
2013-12-11,1
2013-12-12,2
2013-12-14,3
2013-12-15,1
2013-12-16,1
2013-12-17,10
2013-12-18,145
2013-12-19,6
2013-12-23,1
2013-12-24,1
2013-12-25,1
2013-12-26,2
2013-12-27,1
2014-01-04,1
2014-01-05,2
2014-01-06,1
2014-01-07,1
2014-01-09,8
2014-01-10,6
2014-01-11,2
2014-01-12,6
2014-01-13,2
2014-01-16,8
2014-01-20,2
2014-01-21,2
2014-01-27,2
2014-01-28,6
2014-01-29,6
2014-02-02,4
2014-02-03,2
2014-02-04,6
2014-02-05,1
2014-02-06,1
2014-02-07,3
2014-02-08,3
2014-02-10,2
