KeyWord,Datetime,Count
Catania,2013-09-24,1
Catania,2013-09-25,2
Catania,2013-09-27,4
Catania,2013-09-30,3
Catania,2013-10-02,2
Catania,2013-10-05,2
Catania,2013-10-07,1
Catania,2013-10-08,2
Catania,2013-10-10,1
Catania,2013-10-13,1
Catania,2013-10-14,2
Catania,2013-10-18,2
Catania,2013-10-19,4
Catania,2013-10-20,2
Catania,2013-10-21,3
Catania,2013-10-22,2
Catania,2013-10-26,2
Catania,2013-10-27,6
Catania,2013-10-28,3
Catania,2013-10-30,11
Catania,2013-10-31,14
Catania,2013-11-02,1
Catania,2013-11-03,3
Catania,2013-11-04,1
Catania,2013-11-06,1
Catania,2013-11-07,4
Catania,2013-11-09,1
Catania,2013-11-10,10
Catania,2013-11-11,8
Catania,2013-11-12,2
Catania,2013-11-13,3
Catania,2013-11-16,1
Catania,2013-11-17,2
Catania,2013-11-18,4
Catania,2013-11-19,1
Catania,2013-11-20,6
Catania,2013-11-23,4
Catania,2013-11-25,6
Catania,2013-11-26,3
Catania,2013-11-27,2
Catania,2013-11-28,5
Catania,2013-11-29,4
Catania,2013-11-30,4
Catania,2013-12-01,369
Catania,2013-12-02,75
Catania,2013-12-03,6
Catania,2013-12-04,11
Catania,2013-12-05,3
Catania,2013-12-06,3
Catania,2013-12-07,1
Catania,2013-12-08,3
