KeyWord,Datetime,Count
lane,2013-09-25,9
lane,2013-09-26,20
lane,2013-09-27,5
lane,2013-09-28,2
lane,2013-09-29,6
lane,2013-09-30,13
lane,2013-10-01,4
lane,2013-10-02,12
lane,2013-10-03,14
lane,2013-10-04,6
lane,2013-10-05,6
lane,2013-10-06,18
lane,2013-10-07,14
lane,2013-10-08,38
lane,2013-10-09,6
lane,2013-10-10,10
lane,2013-10-11,10
lane,2013-10-12,5
lane,2013-10-13,5
lane,2013-10-14,15
lane,2013-10-18,11
lane,2013-10-19,2
lane,2013-10-20,3
lane,2013-10-21,13
lane,2013-10-22,20
lane,2013-10-23,15
lane,2013-10-24,2
lane,2013-10-25,10
lane,2013-10-26,4
lane,2013-10-27,6
lane,2013-10-28,16
lane,2013-10-29,13
lane,2013-10-30,6
lane,2013-10-31,6
lane,2013-11-01,10
lane,2013-11-02,14
lane,2013-11-03,17
lane,2013-11-04,11
lane,2013-11-06,9
lane,2013-11-07,17
lane,2013-11-08,12
lane,2013-11-09,6
lane,2013-11-10,4
lane,2013-11-11,9
lane,2013-11-12,7
lane,2013-11-13,6
lane,2013-11-14,24
lane,2013-11-15,5
lane,2013-11-16,9
lane,2013-11-17,6
lane,2013-11-18,64
lane,2013-11-19,26
lane,2013-11-20,20
lane,2013-11-22,2
lane,2013-11-23,10
lane,2013-11-24,3
lane,2013-11-25,4
lane,2013-11-26,8
lane,2013-11-27,9
lane,2013-11-28,5
lane,2013-11-29,2
lane,2013-11-30,4
lane,2013-12-01,4
lane,2013-12-02,13
lane,2013-12-03,9
lane,2013-12-04,11
lane,2013-12-05,9
lane,2013-12-06,8
lane,2013-12-08,7
lane,2013-12-09,2
