KeyWord,Datetime,Count
Busan,2013-09-24,2
Busan,2013-09-25,2
Busan,2013-09-26,15
Busan,2013-09-27,114
Busan,2013-09-28,2003
Busan,2013-09-29,766
Busan,2013-09-30,268
Busan,2013-10-01,17
Busan,2013-10-02,108
Busan,2013-10-03,1689
Busan,2013-10-04,9831
Busan,2013-10-05,2173
Busan,2013-10-06,700
Busan,2013-10-07,854
Busan,2013-10-08,296
Busan,2013-10-09,113
Busan,2013-10-10,107
Busan,2013-10-11,47
Busan,2013-10-12,169
Busan,2013-10-13,41
Busan,2013-10-14,140
Busan,2013-10-15,6
Busan,2013-10-18,7
Busan,2013-10-19,49
Busan,2013-10-20,314
Busan,2013-10-21,60
Busan,2013-10-22,39
Busan,2013-10-23,153
Busan,2013-10-24,22
Busan,2013-10-25,58
Busan,2013-10-26,28
Busan,2013-10-27,40
Busan,2013-10-28,35
Busan,2013-10-29,9
Busan,2013-10-30,14
Busan,2013-10-31,9
Busan,2013-11-01,10
Busan,2013-11-02,4
Busan,2013-11-03,8
Busan,2013-11-04,77
Busan,2013-11-05,2
Busan,2013-11-06,18
Busan,2013-11-07,8
Busan,2013-11-08,18
Busan,2013-11-09,6
Busan,2013-11-10,18
Busan,2013-11-11,105
Busan,2013-11-12,212
Busan,2013-11-13,26
Busan,2013-11-14,21
Busan,2013-11-15,38
Busan,2013-11-16,197
Busan,2013-11-17,125
Busan,2013-11-18,80
Busan,2013-11-19,17
Busan,2013-11-20,32
Busan,2013-11-22,1
Busan,2013-11-23,43
Busan,2013-11-24,9
Busan,2013-11-25,74
Busan,2013-11-26,32
Busan,2013-11-27,128
Busan,2013-11-28,45
Busan,2013-11-29,13
Busan,2013-11-30,26
Busan,2013-12-01,41
Busan,2013-12-02,40
Busan,2013-12-03,15
Busan,2013-12-04,9
Busan,2013-12-05,12
Busan,2013-12-06,18
Busan,2013-12-07,1
Busan,2013-12-08,3
Busan,2013-12-09,1
